,Code plate-forme,Code gare,Code UIC,Date fin validité plateforme,Intitulé plateforme,Code postal,Code Commune,Commune,Code département,Département,Longitude,Latitude,Segment DRG,Niveau de service,RG,TVSs,SOPs,Gare,Intitulé gare,Intitulé fronton de gare,Gare DRG,Gare étrangère,DTG,Région SNCF,Unité gare,UT,Nbre plateformes,TVS,WGS 84,Verification TGV
195,01052-1,1052,87611244,,Montauban Ville Bourbon,82000.0,121.0,Montauban,82.0,Tarn-et-Garonne,1.341496,44.014387,a,2.0,GARE MONTAUBAN VILLE BOURBON,"""[{""""TVS_Code"""": """"MBN""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Montauban Ville Bourbon"""", """"Alias_Libelle_Fronton"""": """"Montauban Ville Bourbon"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION MIDI PYRENEES"""", """"UG_Libelle"""": """"UG Toulouse Occitanie Pyrénées"""", """"UT_Libelle"""": """"MONTAUBAN VILLE BOURBON GARE""""}""",Montauban Ville Bourbon,Montauban Ville Bourbon,True,False,DRG Occitanie Sud,REGION MIDI PYRENEES,UG Toulouse Occitanie Pyrénées,MONTAUBAN VILLE BOURBON GARE,1,MBN,"44.014387, 1.341496",wikipedia
2069,00670-1,670,87713131,,Montbard,21500.0,425.0,Montbard,21.0,Côte-d'Or,4.33616,47.618747,b,2.0,GARES B BOURGOGNE,"""[{""""TVS_Code"""": """"MBA""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Montbard"""", """"Alias_Libelle_Fronton"""": """"Montbard"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION BOURGOGNE FRANCHE-COMTE"""", """"UG_Libelle"""": """"UG Bourgogne"""", """"UT_Libelle"""": """"MONTBARD GARE""""}""",Montbard,Montbard,True,False,DRG AURA-BFC,REGION BOURGOGNE FRANCHE-COMTE,UG Bourgogne,MONTBARD GARE,1,MBA,"47.618747, 4.33616",horaires
21,00130-1,130,87773002,,Montpellier Saint-Roch,34011.0,172.0,Montpellier,34.0,Hérault,3.880674,43.604738,a,3.0,GARE MONTPELLIER,"""[{""""TVS_Code"""": """"MPL""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Montpellier Saint-Roch"""", """"Alias_Libelle_Fronton"""": """"Montpellier Saint-Roch"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION LANGUEDOC-ROUSSILLON"""", """"UG_Libelle"""": """"UG Est Occitanie"""", """"UT_Libelle"""": """"MONTPELLIER GARE""""}""",Montpellier Saint-Roch,Montpellier Saint-Roch,True,False,DRG Occitanie Sud,REGION LANGUEDOC-ROUSSILLON,UG Est Occitanie,MONTPELLIER GARE,1,MPL,"43.604738, 3.880674",horaires
1280,03219-1,3219,87688887,,Montpellier Sud de France,34000.0,172.0,Montpellier,34.0,Hérault,3.924623,43.594787,a,,GARE MONTPELLIER SUD DE FRANCE,"""[{""""TVS_Code"""": """"MSF""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Montpellier Sud de France"""", """"Alias_Libelle_Fronton"""": null, """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION LANGUEDOC-ROUSSILLON"""", """"UG_Libelle"""": """"UG Est Occitanie"""", """"UT_Libelle"""": """"MONTPELLIER SUD DE FRANCE TGV""""}""",Montpellier Sud de France,,True,False,DRG Occitanie Sud,REGION LANGUEDOC-ROUSSILLON,UG Est Occitanie,MONTPELLIER SUD DE FRANCE TGV,1,MSF,"43.594787, 3.924623",horaires
2637,00152-1,152,87764001,,Montélimar,26200.0,198.0,Montélimar,26.0,Drôme,4.744792,44.559079,b,2.0,GARES B RHONE ALPES,"""[{""""TVS_Code"""": """"MTR""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Montélimar"""", """"Alias_Libelle_Fronton"""": """"Montélimar"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION RHONE-ALPES"""", """"UG_Libelle"""": """"UG Lyon Vallée du Rhône"""", """"UT_Libelle"""": """"MONTELIMAR GARE""""}""",Montélimar,Montélimar,True,False,DRG AURA-BFC,REGION RHONE-ALPES,UG Lyon Vallée du Rhône,MONTELIMAR GARE,1,MTR,"44.559079, 4.744792",horaires
1615,01687-1,1687,87474338,,Morlaix,29600.0,151.0,Morlaix,29.0,Finistère,-3.832514,48.57797,b,2.0,GARE MORLAIX,"""[{""""TVS_Code"""": """"MXR""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Morlaix"""", """"Alias_Libelle_Fronton"""": """"Morlaix"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION BRETAGNE"""", """"UG_Libelle"""": """"UG Bretagne"""", """"UT_Libelle"""": """"MORLAIX GARE""""}""",Morlaix,Morlaix,True,False,DRG B-CVL-PDL,REGION BRETAGNE,UG Bretagne,MORLAIX GARE,1,MXR,"48.57797, -3.832514",horaires
112,00597-1,597,87718833,,Mouchard,39330.0,370.0,Mouchard,39.0,Jura,5.799644,46.976911,b,1.0,GARES B FRANCHE COMTE,"""[{""""TVS_Code"""": """"MCD""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Mouchard"""", """"Alias_Libelle_Fronton"""": """"Mouchard"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION BOURGOGNE FRANCHE-COMTE"""", """"UG_Libelle"""": """"UG Franche-Comté"""", """"UT_Libelle"""": """"MOUCHARD GARE""""}""",Mouchard,Mouchard,True,False,DRG AURA-BFC,REGION BOURGOGNE FRANCHE-COMTE,UG Franche-Comté,MOUCHARD GARE,1,MCD,"46.976911, 5.799644",wikipedia
2686,00392-1,392,87741728,,Moûtiers - Salins - Brides-les-Bains,73600.0,181.0,Moûtiers,73.0,Savoie,6.531425,45.486344,b,2.0,GARES B ALPES,"""[{""""TVS_Code"""": """"MOS""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Moûtiers - Salins - Brides-les-Bains"""", """"Alias_Libelle_Fronton"""": """"Moûtiers - Salins - Brides-les-Bains"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION ALPES"""", """"UG_Libelle"""": """"UG Alpes"""", """"UT_Libelle"""": """"MOUTIERS SALINS BRIDES LES BAINS GARE""""}""",Moûtiers - Salins - Brides-les-Bains,Moûtiers - Salins - Brides-les-Bains,True,False,DRG AURA-BFC,REGION ALPES,UG Alpes,MOUTIERS SALINS BRIDES LES BAINS GARE,1,MOS,"45.486344, 6.531425",wikipedia
1858,02808-1,2808,87182063,,Mulhouse,68100.0,224.0,Mulhouse,68.0,Haut-Rhin,7.342396,47.742224,a,3.0,GARE MULHOUSE VILLE,"""[{""""TVS_Code"""": """"MSE""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Mulhouse"""", """"Alias_Libelle_Fronton"""": """"Mulhouse"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION ALSACE"""", """"UG_Libelle"""": """"UG Alsace"""", """"UT_Libelle"""": """"MULHOUSE VILLE P GARE""""}""",Mulhouse,Mulhouse,True,False,DRG Grand Est,REGION ALSACE,UG Alsace,MULHOUSE VILLE P GARE,1,MSE,"47.742224, 7.342396",horaires
1391,00502-1,502,87725689,,Mâcon,71000.0,270.0,Mâcon,71.0,Saône-et-Loire,4.824887,46.302572,b,2.0,GARES B BOURGOGNE,"""[{""""TVS_Code"""": """"MAC""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Mâcon"""", """"Alias_Libelle_Fronton"""": """"Mâcon"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION BOURGOGNE FRANCHE-COMTE"""", """"UG_Libelle"""": """"UG Bourgogne"""", """"UT_Libelle"""": """"MACON GARE""""}""",Mâcon,Mâcon,True,False,DRG AURA-BFC,REGION BOURGOGNE FRANCHE-COMTE,UG Bourgogne,MACON GARE,1,MAC,"46.302572, 4.824887",wikipedia
