,Code plate-forme,Code gare,Code UIC,Date fin validité plateforme,Intitulé plateforme,Code postal,Code Commune,Commune,Code département,Département,Longitude,Latitude,Segment DRG,Niveau de service,RG,TVSs,SOPs,Gare,Intitulé gare,Intitulé fronton de gare,Gare DRG,Gare étrangère,DTG,Région SNCF,Unité gare,UT,Nbre plateformes,TVS,WGS 84,Verification TGV
1630,01737-1,1737,87473009,,Saint-Brieuc,22000.0,278.0,Saint-Brieuc,22.0,Côtes-d'Armor,-2.765,48.50758,a,2.0,GARE ST BRIEUC,"""[{""""TVS_Code"""": """"SBC""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saint-Brieuc"""", """"Alias_Libelle_Fronton"""": """"Saint-Brieuc"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION BRETAGNE"""", """"UG_Libelle"""": """"UG Bretagne"""", """"UT_Libelle"""": """"SAINT BRIEUC P GARE""""}""",Saint-Brieuc,Saint-Brieuc,True,False,DRG B-CVL-PDL,REGION BRETAGNE,UG Bretagne,SAINT BRIEUC P GARE,1,SBC,"48.50758, -2.765",horaires
1220,02944-1,2944,87144014,,Saint-Dié-des-Vosges,88100.0,413.0,Saint-Dié-des-Vosges,88.0,Vosges,6.948656,48.282225,b,2.0,GARES B LORRAINE,"""[{""""TVS_Code"""": """"STD""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saint-Dié-des-Vosges"""", """"Alias_Libelle_Fronton"""": """"Saint-Dié-des-Vosges"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION LORRAINE"""", """"UG_Libelle"""": """"UG Lorraine"""", """"UT_Libelle"""": """"SAINT DIE GARE""""}""",Saint-Dié-des-Vosges,Saint-Dié-des-Vosges,True,False,DRG Grand Est,REGION LORRAINE,UG Lorraine,SAINT DIE GARE,1,STD,"48.282225, 6.948656",wikipedia
2008,00343-1,343,87746479,,Saint-Gervais-les-Bains Le Fayet,74170.0,236.0,Saint-Gervais-les-Bains,74.0,Haute-Savoie,6.701331,45.906423,b,1.0,GARES B ALPES,"""[{""""TVS_Code"""": """"SGB""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saint-Gervais-les-Bains Le Fayet"""", """"Alias_Libelle_Fronton"""": """"Saint-Gervais-les-Bains Le Fayet"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION ALPES"""", """"UG_Libelle"""": """"UG Alpes"""", """"UT_Libelle"""": """"SAINT GERVAIS LES BAINS LE FAYET P GARE""""}""",Saint-Gervais-les-Bains Le Fayet,Saint-Gervais-les-Bains Le Fayet,True,False,DRG AURA-BFC,REGION ALPES,UG Alpes,SAINT GERVAIS LES BAINS LE FAYET P GARE,1,SGB,"45.906423, 6.701331",wikipedia
2117,00846-1,846,87677120,,Saint-Jean-de-Luz - Ciboure,64500.0,483.0,Saint-Jean-de-Luz,64.0,Pyrénées-Atlantiques,-1.66122,43.385838,b,1.0,GARES B AQUITAINE,"""[{""""TVS_Code"""": """"SJZ""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saint-Jean-de-Luz - Ciboure"""", """"Alias_Libelle_Fronton"""": """"Saint-Jean-de-Luz - Ciboure"""", """"AgenceGC_Libelle"""": """"DRG Nlle Aquitaine"""", """"RegionSNCF_Libelle"""": """"REGION POITOU-CHARENTES AQUITAINE"""", """"UG_Libelle"""": """"UG Aquitaine"""", """"UT_Libelle"""": """"SAINT JEAN DE LUZ CIBOURE GARE""""}""",Saint-Jean-de-Luz - Ciboure,Saint-Jean-de-Luz - Ciboure,True,False,DRG Nlle Aquitaine,REGION POITOU-CHARENTES AQUITAINE,UG Aquitaine,SAINT JEAN DE LUZ CIBOURE GARE,1,SJZ,"43.385838, -1.66122",horaires
2016,00386-1,386,87742320,,Saint-Jean-de-Maurienne Arvan,73300.0,248.0,Saint-Jean-de-Maurienne,73.0,Savoie,6.354716,45.277542,b,1.0,GARES B ALPES,"""[{""""TVS_Code"""": """"SJM""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saint-Jean-de-Maurienne Arvan"""", """"Alias_Libelle_Fronton"""": """"Saint-Jean-de-Maurienne Arvan"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION ALPES"""", """"UG_Libelle"""": """"UG Alpes"""", """"UT_Libelle"""": """"SAINT JEAN DE MAURIENNE GARE""""}""",Saint-Jean-de-Maurienne Arvan,Saint-Jean-de-Maurienne Arvan,True,False,DRG AURA-BFC,REGION ALPES,UG Alpes,SAINT JEAN DE MAURIENNE GARE,1,SJM,"45.277542, 6.354716",horaires
944,01555-1,1555,87485490,,Saint-Maixent-L'École,79400.0,270.0,Saint-Maixent-l'École,79.0,Deux-Sèvres,-0.201073,46.406607,b,1.0,GARES B POITOU CHARENTES,"""[{""""TVS_Code"""": """"SMX""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saint-Maixent-L'École"""", """"Alias_Libelle_Fronton"""": """"Saint-Maixent-L'École"""", """"AgenceGC_Libelle"""": """"DRG Nlle Aquitaine"""", """"RegionSNCF_Libelle"""": """"REGION POITOU-CHARENTES AQUITAINE"""", """"UG_Libelle"""": """"UG Poitou-Charentes"""", """"UT_Libelle"""": """"SAINT MAIXENT (DEUX SEVRES) GARE""""}""",Saint-Maixent-L'École,Saint-Maixent-L'École,True,False,DRG Nlle Aquitaine,REGION POITOU-CHARENTES AQUITAINE,UG Poitou-Charentes,SAINT MAIXENT (DEUX SEVRES) GARE,1,SMX,"46.406607, -0.201073",horaires
968,01651-1,1651,87478107,,Saint-Malo,35400.0,288.0,Saint-Malo,35.0,Ille-et-Vilaine,-2.004158,48.646859,a,2.0,GARE ST MALO,"""[{""""TVS_Code"""": """"SMP""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saint-Malo"""", """"Alias_Libelle_Fronton"""": """"Saint-Malo"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION BRETAGNE"""", """"UG_Libelle"""": """"UG Bretagne"""", """"UT_Libelle"""": """"SAINT MALO GARE""""}""",Saint-Malo,Saint-Malo,True,False,DRG B-CVL-PDL,REGION BRETAGNE,UG Bretagne,SAINT MALO GARE,1,SMP,"48.646859, -2.004158",horaires
702,00385-1,385,87742361,,Saint-Michel - Valloire,73450.0,261.0,Saint-Michel-de-Maurienne,73.0,Savoie,6.4719135,45.216916,c,1.0,GARES C ALPES,"""[{""""TVS_Code"""": """"SMI""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saint-Michel - Valloire"""", """"Alias_Libelle_Fronton"""": """"Saint-Michel - Valloire"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION ALPES"""", """"UG_Libelle"""": """"UG Alpes"""", """"UT_Libelle"""": """"SAINT MICHEL VALLOIRE GARE""""}""",Saint-Michel - Valloire,Saint-Michel - Valloire,True,False,DRG AURA-BFC,REGION ALPES,UG Alpes,SAINT MICHEL VALLOIRE GARE,1,SMI,"45.216916, 6.4719135",wikipedia
957,01599-1,1599,87481705,,Saint-Nazaire,44600.0,184.0,Saint-Nazaire,44.0,Loire-Atlantique,-2.211096,47.286412,b,2.0,GARE ST NAZAIRE,"""[{""""TVS_Code"""": """"SNA""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saint-Nazaire"""", """"Alias_Libelle_Fronton"""": """"Saint-Nazaire"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION PAYS DE LA LOIRE"""", """"UG_Libelle"""": """"UG Pays de la Loire"""", """"UT_Libelle"""": """"SAINT NAZAIRE GARE""""}""",Saint-Nazaire,Saint-Nazaire,True,False,DRG B-CVL-PDL,REGION PAYS DE LA LOIRE,UG Pays de la Loire,SAINT NAZAIRE GARE,1,SNA,"47.286412, -2.211096",wikipedia
1564,01426-1,1426,87571240,,Saint-Pierre-des-Corps,37700.0,233.0,Saint-Pierre-des-Corps,37.0,Indre-et-Loire,0.72355,47.386099,a,3.0,GARE ST PIERRE DES CORPS,"""[{""""TVS_Code"""": """"SPC""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saint-Pierre-des-Corps"""", """"Alias_Libelle_Fronton"""": """"Saint-Pierre-des-Corps"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION CENTRE"""", """"UG_Libelle"""": """"UG Centre"""", """"UT_Libelle"""": """"SAINT PIERRE DES CORPS GARE""""}""",Saint-Pierre-des-Corps,Saint-Pierre-des-Corps,True,False,DRG B-CVL-PDL,REGION CENTRE,UG Centre,SAINT PIERRE DES CORPS GARE,1,SPC,"47.386099, 0.72355",horaires
1325,00201-1,201,87757526,,Saint-Raphaël,83700.0,118.0,Saint-Raphaël,83.0,Var,6.769083,43.42356,a,2.0,GARE ST RAPHAEL VALESCURE,"""[{""""TVS_Code"""": """"SRV""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saint-Raphaël"""", """"Alias_Libelle_Fronton"""": """"Saint-Raphaël Valescure"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION PROVENCE ALPES COTE D'AZUR"""", """"UG_Libelle"""": """"UG Côte d'Azur"""", """"UT_Libelle"""": """"SAINT RAPHAEL VALESCURE GARE""""}""",Saint-Raphaël,Saint-Raphaël Valescure,True,False,DRG Occitanie Sud,REGION PROVENCE ALPES COTE D'AZUR,UG Côte d'Azur,SAINT RAPHAEL VALESCURE GARE,1,SRV,"43.42356, 6.769083",horaires
2699,00491-1,491,87726000,,Saint-Étienne Châteaucreux,42000.0,218.0,Saint-Étienne,42.0,Loire,4.399722,45.443366,b,2.0,GARE ST ETIENNE CHATEAUCREUX,"""[{""""TVS_Code"""": """"SEN""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saint-Étienne Châteaucreux"""", """"Alias_Libelle_Fronton"""": """"Saint-Étienne Châteaucreux"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION RHONE-ALPES"""", """"UG_Libelle"""": """"UG Lyon Vallée du Rhône"""", """"UT_Libelle"""": """"SAINT ETIENNE CHATEAUCREUX GARE""""}""",Saint-Étienne Châteaucreux,Saint-Étienne Châteaucreux,True,False,DRG AURA-BFC,REGION RHONE-ALPES,UG Lyon Vallée du Rhône,SAINT ETIENNE CHATEAUCREUX GARE,1,SEN,"45.443366, 4.399722",wikipedia
54,00344-1,344,87746438,,Sallanches - Combloux - Megève,74700.0,256.0,Sallanches,74.0,Haute-Savoie,6.636431,45.935702,b,1.0,GARES B ALPES,"""[{""""TVS_Code"""": """"SLS""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Sallanches - Combloux - Megève"""", """"Alias_Libelle_Fronton"""": """"Sallanches - Combloux - Megève"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION ALPES"""", """"UG_Libelle"""": """"UG Alpes"""", """"UT_Libelle"""": """"SALLANCHES COMBLOUX MEGEVE GARE""""}""",Sallanches - Combloux - Megève,Sallanches - Combloux - Megève,True,False,DRG AURA-BFC,REGION ALPES,UG Alpes,SALLANCHES COMBLOUX MEGEVE GARE,1,SLS,"45.935702, 6.636431",wikipedia
3088,02575-1,2575,87215012,,Sarrebourg,57400.0,630.0,Sarrebourg,57.0,Moselle,7.05285,48.73808,b,2.0,GARES B ALSACE,"""[{""""TVS_Code"""": """"SBG""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Sarrebourg"""", """"Alias_Libelle_Fronton"""": """"Sarrebourg"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION ALSACE"""", """"UG_Libelle"""": """"UG Alsace"""", """"UT_Libelle"""": """"SARREBOURG GARE""""}""",Sarrebourg,Sarrebourg,True,False,DRG Grand Est,REGION ALSACE,UG Alsace,SARREBOURG GARE,1,SBG,"48.73808, 7.05285",wikipedia
1583,01531-1,1531,87487603,,Saumur,49400.0,328.0,Saumur,49.0,Maine-et-Loire,-0.07136,47.269,b,2.0,GARES B PAYS DE LA LOIRE,"""[{""""TVS_Code"""": """"SUD""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saumur"""", """"Alias_Libelle_Fronton"""": """"Saumur"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION PAYS DE LA LOIRE"""", """"UG_Libelle"""": """"UG Pays de la Loire"""", """"UT_Libelle"""": """"SAUMUR RIVE DROITE GARE""""}""",Saumur,Saumur,True,False,DRG B-CVL-PDL,REGION PAYS DE LA LOIRE,UG Pays de la Loire,SAUMUR RIVE DROITE GARE,1,SUD,"47.269, -0.07136",horaires
2480,02656-1,2656,87212225,,Saverne,67700.0,437.0,Saverne,67.0,Bas-Rhin,7.3620802,48.7444606,b,2.0,GARES B ALSACE,"""[{""""TVS_Code"""": """"SNE""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Saverne"""", """"Alias_Libelle_Fronton"""": """"Saverne"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION ALSACE"""", """"UG_Libelle"""": """"UG Alsace"""", """"UT_Libelle"""": """"SAVERNE P GARE""""}""",Saverne,Saverne,True,False,DRG Grand Est,REGION ALSACE,UG Alsace,SAVERNE P GARE,1,SNE,"48.7444606, 7.3620802",wikipedia
2525,02855-1,2855,87172254,,Sedan,8200.0,409.0,Sedan,8.0,Ardennes,4.930373,49.695024,b,2.0,GARES B CHAMPAGNE ARDENNE,"""[{""""TVS_Code"""": """"SED""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Sedan"""", """"Alias_Libelle_Fronton"""": """"Sedan"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION CHAMPAGNE-ARDENNE"""", """"UG_Libelle"""": """"UG Champagne"""", """"UT_Libelle"""": """"SEDAN P GARE""""}""",Sedan,Sedan,True,False,DRG Grand Est,REGION CHAMPAGNE-ARDENNE,UG Champagne,SEDAN P GARE,1,SED,"49.695024, 4.930373",wikipedia
1171,02669-1,2669,87212027,,Strasbourg,67000.0,482.0,Strasbourg,67.0,Bas-Rhin,7.734584,48.584967,a,3.0,GARE STRASBOURG,"""[{""""TVS_Code"""": """"STG""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Strasbourg"""", """"Alias_Libelle_Fronton"""": """"Strasbourg"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION ALSACE"""", """"UG_Libelle"""": """"UG Alsace"""", """"UT_Libelle"""": """"STRASBOURG VILLE GARE""""}""",Strasbourg,Strasbourg,True,False,DRG Grand Est,REGION ALSACE,UG Alsace,STRASBOURG VILLE GARE,1,STG,"48.584967, 7.734584",horaires
946,01565-1,1565,87485227,,Surgères,17700.0,434.0,Surgères,17.0,Charente-Maritime,-0.762284,46.113238,b,1.0,GARES B POITOU CHARENTES,"""[{""""TVS_Code"""": """"SGE""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Surgères"""", """"Alias_Libelle_Fronton"""": """"Surgères"""", """"AgenceGC_Libelle"""": """"DRG Nlle Aquitaine"""", """"RegionSNCF_Libelle"""": """"REGION POITOU-CHARENTES AQUITAINE"""", """"UG_Libelle"""": """"UG Poitou-Charentes"""", """"UT_Libelle"""": """"SURGERES GARE""""}""",Surgères,Surgères,True,False,DRG Nlle Aquitaine,REGION POITOU-CHARENTES AQUITAINE,UG Poitou-Charentes,SURGERES GARE,1,SGE,"46.113238, -0.762284",horaires
654,00129-1,129,87773200,,Sète,34200.0,301.0,Sète,34.0,Hérault,3.69656,43.412485,b,2.0,GARE SETE,"""[{""""TVS_Code"""": """"STE""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Sète"""", """"Alias_Libelle_Fronton"""": """"Sète"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION LANGUEDOC-ROUSSILLON"""", """"UG_Libelle"""": """"UG Est Occitanie"""", """"UT_Libelle"""": """"SETE VILLE GARE""""}""",Sète,Sète,True,False,DRG Occitanie Sud,REGION LANGUEDOC-ROUSSILLON,UG Est Occitanie,SETE VILLE GARE,1,STE,"43.412485, 3.69656",horaires
1162,02614-1,2614,87214056,,Sélestat,67600.0,462.0,Sélestat,67.0,Bas-Rhin,7.443278,48.2601166,b,2.0,GARES B ALSACE,"""[{""""TVS_Code"""": """"STT""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Sélestat"""", """"Alias_Libelle_Fronton"""": """"Sélestat"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION ALSACE"""", """"UG_Libelle"""": """"UG Alsace"""", """"UT_Libelle"""": """"SELESTAT GARE""""}""",Sélestat,Sélestat,True,False,DRG Grand Est,REGION ALSACE,UG Alsace,SELESTAT GARE,1,STT,"48.2601166, 7.443278",horaires
2773,00895-1,895,87671008,,Tarbes,65000.0,440.0,Tarbes,65.0,Hautes-Pyrénées,0.069415,43.239955,b,2.0,GARES B MIDI PYRENEES,"""[{""""TVS_Code"""": """"TBS""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Tarbes"""", """"Alias_Libelle_Fronton"""": """"Tarbes"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION MIDI PYRENEES"""", """"UG_Libelle"""": """"UG Toulouse Occitanie Pyrénées"""", """"UT_Libelle"""": """"TARBES GARE""""}""",Tarbes,Tarbes,True,False,DRG Occitanie Sud,REGION MIDI PYRENEES,UG Toulouse Occitanie Pyrénées,TARBES GARE,1,TBS,"43.239955, 0.069415",wikipedia
1845,02745-1,2745,87191007,,Thionville,57100.0,672.0,Thionville,57.0,Moselle,6.169543,49.353931,b,2.0,GARE THIONVILLE,"""[{""""TVS_Code"""": """"THL""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Thionville"""", """"Alias_Libelle_Fronton"""": """"Thionville"""", """"AgenceGC_Libelle"""": """"DRG Grand Est"""", """"RegionSNCF_Libelle"""": """"REGION LORRAINE"""", """"UG_Libelle"""": """"UG Lorraine"""", """"UT_Libelle"""": """"THIONVILLE GARE""""}""",Thionville,Thionville,True,False,DRG Grand Est,REGION LORRAINE,UG Lorraine,THIONVILLE GARE,1,THL,"49.353931, 6.169543",horaires
2677,00360-1,360,87745646,,Thonon-les-Bains,74200.0,281.0,Thonon-les-Bains,74.0,Haute-Savoie,6.481669,46.369004,b,1.0,GARES B ALPES,"""[{""""TVS_Code"""": """"THO""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Thonon-les-Bains"""", """"Alias_Libelle_Fronton"""": """"Thonon-les-Bains"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION ALPES"""", """"UG_Libelle"""": """"UG Alpes"""", """"UT_Libelle"""": """"THONON LES BAINS GARE""""}""",Thonon-les-Bains,Thonon-les-Bains,True,False,DRG AURA-BFC,REGION ALPES,UG Alpes,THONON LES BAINS GARE,1,THO,"46.369004, 6.481669",wikipedia
2654,00251-1,251,87755009,,Toulon,83000.0,137.0,Toulon,83.0,Var,5.929293,43.12837,a,2.0,GARE TOULON,"""[{""""TVS_Code"""": """"TLN""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Toulon"""", """"Alias_Libelle_Fronton"""": """"Toulon"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION PROVENCE ALPES COTE D'AZUR"""", """"UG_Libelle"""": """"UG Régionale PA"""", """"UT_Libelle"""": """"TOULON GARE""""}""",Toulon,Toulon,True,False,DRG Occitanie Sud,REGION PROVENCE ALPES COTE D'AZUR,UG Régionale PA,TOULON GARE,1,TLN,"43.12837, 5.929293",horaires
2154,01068-1,1068,87611004,,Toulouse Matabiau,31500.0,555.0,Toulouse,31.0,Haute-Garonne,1.453616,43.611206,a,3.0,GARE TOULOUSE MATABIAU,"""[{""""TVS_Code"""": """"TSE""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Toulouse Matabiau"""", """"Alias_Libelle_Fronton"""": """"Toulouse Matabiau"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION MIDI PYRENEES"""", """"UG_Libelle"""": """"UG Toulouse Occitanie Pyrénées"""", """"UT_Libelle"""": """"TOULOUSE MATABIAU GARE""""}""",Toulouse Matabiau,Toulouse Matabiau,True,False,DRG Occitanie Sud,REGION MIDI PYRENEES,UG Toulouse Occitanie Pyrénées,TOULOUSE MATABIAU GARE,1,TSE,"43.611206, 1.453616",horaires
465,02400-1,2400,87286542,,Tourcoing,59200.0,599.0,Tourcoing,59.0,Nord,3.16804,50.71683,a,2.0,GARE TOURCOING,"""[{""""TVS_Code"""": """"TRG""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Tourcoing"""", """"Alias_Libelle_Fronton"""": """"Tourcoing"""", """"AgenceGC_Libelle"""": """"DRG HDF-Normandie"""", """"RegionSNCF_Libelle"""": """"REGION NORD PAS DE CALAIS"""", """"UG_Libelle"""": """"UG Nord Pas de Calais"""", """"UT_Libelle"""": """"TOURCOING GARE""""}""",Tourcoing,Tourcoing,True,False,DRG HDF-Normandie,REGION NORD PAS DE CALAIS,UG Nord Pas de Calais,TOURCOING GARE,1,TRG,"50.71683, 3.16804",horaires
2245,01428-1,1428,87571000,,Tours,37000.0,261.0,Tours,37.0,Indre-et-Loire,0.693703,47.389781,a,3.0,GARE TOURS,"""[{""""TVS_Code"""": """"TRS""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Tours"""", """"Alias_Libelle_Fronton"""": """"Tours"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION CENTRE"""", """"UG_Libelle"""": """"UG Centre"""", """"UT_Libelle"""": """"TOURS GARE""""}""",Tours,Tours,True,False,DRG B-CVL-PDL,REGION CENTRE,UG Centre,TOURS GARE,1,TRS,"47.389781, 0.693703",horaires
666,00181-1,181,87761007,,Valence,26000.0,362.0,Valence,26.0,Drôme,4.893273,44.928049,b,2.0,GARES B RHONE ALPES,"""[{""""TVS_Code"""": """"VCE""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Valence"""", """"Alias_Libelle_Fronton"""": """"Valence"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION RHONE-ALPES"""", """"UG_Libelle"""": """"UG Lyon Vallée du Rhône"""", """"UT_Libelle"""": """"VALENCE GARE""""}""",Valence,Valence,True,False,DRG AURA-BFC,REGION RHONE-ALPES,UG Lyon Vallée du Rhône,VALENCE GARE,1,VCE,"44.928049, 4.893273",horaires
661,00162-1,162,87763029,,Valence TGV Rhône-Alpes Sud,26958.0,4.0,Alixan,26.0,Drôme,4.978703,44.991545,a,2.0,GARE VALENCE TGV,"""[{""""TVS_Code"""": """"VAL""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Valence TGV Rhône-Alpes Sud"""", """"Alias_Libelle_Fronton"""": """"Valence TGV Rhône-Alpes Sud"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION RHONE-ALPES"""", """"UG_Libelle"""": """"UG Lyon Vallée du Rhône"""", """"UT_Libelle"""": """"VALENCE TGV RHONE ALPES SUD""""}""",Valence TGV Rhône-Alpes Sud,Valence TGV Rhône-Alpes Sud,True,False,DRG AURA-BFC,REGION RHONE-ALPES,UG Lyon Vallée du Rhône,VALENCE TGV RHONE ALPES SUD,1,VAL,"44.991545, 4.978703",intitulé plateforme
1731,02153-1,2153,87343004,,Valenciennes,59300.0,606.0,Valenciennes,59.0,Nord,3.517115,50.363259,b,2.0,GARE VALENCIENNES,"""[{""""TVS_Code"""": """"VSN""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Valenciennes"""", """"Alias_Libelle_Fronton"""": """"Valenciennes"""", """"AgenceGC_Libelle"""": """"DRG HDF-Normandie"""", """"RegionSNCF_Libelle"""": """"REGION NORD PAS DE CALAIS"""", """"UG_Libelle"""": """"UG Nord Pas de Calais"""", """"UT_Libelle"""": """"VALENCIENNES GARE""""}""",Valenciennes,Valenciennes,True,False,DRG HDF-Normandie,REGION NORD PAS DE CALAIS,UG Nord Pas de Calais,VALENCIENNES GARE,1,VSN,"50.363259, 3.517115",horaires
